config,label,pr_auc,pr_auc_inflation_vs_D,roc_auc,recall_at_90
A,"Random split, SMOTE before split",0.9973091442699162,0.28779525000240747,0.9970129370939642,0.9928685746563736
B,"Random split, SMOTE inside pipeline",0.6915688441830619,-0.017945050084446912,0.9668988559487219,0.0
C,"Temporal split, SMOTE inside pipeline",0.7599414435022597,0.0504275492347509,0.9819225281181803,0.7297297297297297
D,"Temporal split, class weights",0.7095138942675088,0.0,0.9748288396386223,0.44594594594594594
